ENGLISH,ARABIC,ROOT,CATEGORY,SOURCE,DATE,EQUIVALENTS
َ,فَتْحة,,"mark, grammar",lesson 8,,
ُ,ضَمة,,"mark, grammar",lesson 8,,
ِ,كَسْرة,,"mark, grammar",lesson 8,,
ّ,قَلَّ,,"mark, grammar",lesson 8,,
a beautiful city,مدينة جميلة,,grammar,lesson 12,,
a lot,كَثير,,,,,"very, much"
a third,ثُلث,ث-ل-ث,"time, numbers",chapter 2.3,,third
a week ago,قبل أسبوع,,,chapter 4.1,20.01.23,
abu dhabi,أبو طبي,,"cities, places",lesson 7,,
address,عُنوان,ع-ن-و,travel,chapter 3.1,,
airport,مَطار,ط-ي-ر,travel,chapter 3.1,,
all praises to god,الحَمْدُ لِلّه,,"dialogue, religion",lesson 11,,praises to god
allow,سَمِحَ,,,chapter 4.1,20.01.23,permit
also,كَمان,,,chapter 4.2,20.01.23,
always,دائِمًا,,,,,
america,أَمريكا,,"country, place",lesson 8,,
american,أَمريكيّ,,"nationality, adjectives",lesson 8,,
and you?,وَ أنَتَ؟,,dialogue,lesson 11,,
apartment,شقّة,,,,,
apple,تُفّاحة,,"food, fruit",chapter 2.9,,
apples,تُفَّاح,,"food, fruit",chapter 2.9,,
april,أبْريل,,,,,
arabic,الَرَبِيّ,,language,,,
august,أَغُسْطُس,,,,,
available,مَوْجود,,,chapter 6.1,18.01.23,found
baghdad,بغداد,,"countries, places",book,,
baked,مشوي,,food,chapter 6.1,18.01.23,grilled
banana,مَوْزة,,"food, fruit",chapter 2.9,,
bananas,مَوْز,,"food, fruit",chapter 2.9,,
barrier,حجاب ,,,lesson 5,,headscarf
bathroom,حمّام,,,,,
bathrooms ,حمّامات,,,,,
beautiful,جميل,ج-م-ل,adjectives,lesson 5,,
beauty,جمال,,love,lesson 5,,
bedroom,غُرْفة نوم,,,,,
before,قبل,,,chapter 4.1,20.01.23,
beruit,بيروت,,"city, place",book,,
big,كَبير,ك-ب-ر,"size, adjectives",book,,
birth,وِلادة,و-ل-د,travel,chapter 3.1,,
black (f.),سَوْداء,,colors,chapter 2.8,,"black, black (f)"
black (m.),أَسْوَد,,colors,chapter 2.8,,black
blue (f.),زرْقاء,,colors,chapter 2.8,,"blue, blue (f)"
blue (m.),أَزرق,,colors,chapter 2.8,,
book,كِتاب,ك-ت-ب,class,book,,
books,كتابان,ك-ت-ب,,,,
borders,حُدود,,,chapter 4.1,20.01.23,
box,صندوق,,,chapter 4.1,20.01.23,box
bread,خُبْز,,food,chapter 2.9,,
breakfast,الفُطور,,food,chapter 2.9,,the breakfast
brother,أَخ,,"family, relatives",chapter 2.7,,
brothers/siblings,إِخْوة,,"family, relatives",,,"brothers, siblings"
brown,بُنّيّ,,colors,chapter 2.8,,
bus,باص,,"transportation, travel",,,
but,ولٰكِن,,,lesson 8,,
but,لكن,,,chapter 4.3,20.01.23,
by car,بالسيارة,,"travel, transportation",,13.01.23,
by plane,بالطائرة,ط-ي-ر,"travel, transportation",chapter 3.2,13.01.23,
café,مَقْهى,,,,23.01.23,
canada,كندا,,"countries, places",book,,
capital,عاصِمة,,,,,
car,سَيّارة,,"transportation, travel",,,
cat,قِطةٌ,,,lesson 13,,
charming,رقَيّة,,adjectives,lesson 8,,magical
cheap,رخيص,,,,09.01.23,
cheap,خُضار,,,chapter 6.1,18.01.23,
cheese (collective),جُبن,,food,chapter 2.9,,cheese
cheese (unit),جُبنة,,food,chapter 2.9,,cheese
